mode,scope,label,n_obs_labeled,n_label_classes,k,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,label_rows_in_full_order
independent,s3,Y.l1,2662,9,6,0.540672841627127,0.6081381068539548,0.6113086470685234,0.6050002848354135,0.6081381068539546,0.1112280115485191,0.5556140057742596,"5204,5205,5206,5207,5208"
independent,s3,Y,2662,11,6,0.4504280879738621,0.5692441283168916,0.532591035926514,0.6113150323479698,0.5692441283168918,0.1049333736300468,0.5524666868150234,"5204,5205,5206,5207,5208"
independent,s1,RegionLoupe,2384,9,8,0.5370737845147125,0.6779614406302334,0.7376534460757684,0.6272069302373421,0.6779614406302333,0.110919289290905,0.5554596446454525,"0,1,2,3,4"
independent,s1,annotations,2384,11,8,0.568089828473533,0.6931623798788494,0.7029921821569469,0.6836036831921517,0.6931623798788494,0.112728551030159,0.5563642755150795,"0,1,2,3,4"
independent,s1,celltype,2384,11,8,0.568089828473533,0.6931623798788494,0.7029921821569469,0.6836036831921517,0.6931623798788494,0.112728551030159,0.5563642755150795,"0,1,2,3,4"
independent,s1,Y.l1,2384,9,8,0.5370737845147125,0.6779614406302334,0.7376534460757684,0.6272069302373421,0.6779614406302333,0.110919289290905,0.5554596446454525,"0,1,2,3,4"
independent,s1,Y,2384,11,8,0.568089828473533,0.6931623798788494,0.7029921821569469,0.6836036831921517,0.6931623798788494,0.112728551030159,0.5563642755150795,"0,1,2,3,4"
independent,s2,RegionLoupe,2820,9,8,0.437504309834393,0.6232622198241864,0.7044834014420995,0.558833304627115,0.6232622198241864,0.1206285953521728,0.5603142976760864,"2384,2385,2386,2387,2388"
independent,s2,annotations,2820,11,8,0.3464021322630772,0.5904165901616946,0.6216893449886506,0.5621393696689461,0.5904165901616946,0.1083085760474205,0.5541542880237103,"2384,2385,2386,2387,2388"
independent,s2,Y.l1,2820,9,8,0.437504309834393,0.6232622198241864,0.7044834014420995,0.558833304627115,0.6232622198241864,0.1206285953521728,0.5603142976760864,"2384,2385,2386,2387,2388"
independent,s2,Y,2820,11,8,0.3464021322630772,0.5904165901616946,0.6216893449886505,0.562139369668946,0.5904165901616946,0.1083085760474205,0.5541542880237103,"2384,2385,2386,2387,2388"
independent,s3,RegionLoupe,2662,9,8,0.4798720178190786,0.6094318783554512,0.6613395114167258,0.5650795573368091,0.6094318783554513,0.1112280115485191,0.5556140057742596,"5204,5205,5206,5207,5208"
independent,s3,annotations,2662,11,8,0.5469164840367332,0.6478798803016568,0.6508311096383248,0.6449552951677406,0.6478798803016569,0.1049333736300468,0.5524666868150234,"5204,5205,5206,5207,5208"
independent,s3,celltype,2662,11,8,0.5469164840367332,0.6478798803016568,0.6508311096383248,0.6449552951677406,0.6478798803016569,0.1049333736300468,0.5524666868150234,"5204,5205,5206,5207,5208"
independent,s3,Y.l1,2662,9,8,0.4798720178190786,0.6094318783554512,0.6613395114167258,0.5650795573368091,0.6094318783554513,0.1112280115485191,0.5556140057742596,"5204,5205,5206,5207,5208"
independent,s3,Y,2662,11,8,0.5469164840367332,0.6478798803016569,0.6508311096383248,0.6449552951677407,0.6478798803016568,0.1049333736300468,0.5524666868150234,"5204,5205,5206,5207,5208"
independent,s1,RegionLoupe,2384,9,10,0.4341311370856937,0.633898922032734,0.7311822628269194,0.5594627540233007,0.6338989220327341,0.110919289290905,0.5554596446454525,"0,1,2,3,4"
independent,s1,annotations,2384,11,10,0.4606421494833316,0.6513600740231048,0.6978575946764619,0.610671660830375,0.6513600740231047,0.112728551030159,0.5563642755150795,"0,1,2,3,4"
independent,s1,celltype,2384,11,10,0.4606421494833316,0.6513600740231048,0.6978575946764619,0.610671660830375,0.6513600740231047,0.112728551030159,0.5563642755150795,"0,1,2,3,4"
independent,s1,Y.l1,2384,9,10,0.4341311370856937,0.633898922032734,0.7311822628269194,0.5594627540233007,0.6338989220327341,0.110919289290905,0.5554596446454525,"0,1,2,3,4"
independent,s1,Y,2384,11,10,0.4606421494833316,0.6513600740231047,0.6978575946764618,0.6106716608303749,0.6513600740231046,0.112728551030159,0.5563642755150795,"0,1,2,3,4"
independent,s2,RegionLoupe,2820,9,10,0.3253775909808868,0.5820512257508904,0.7045758267910798,0.4958276042650729,0.5820512257508904,0.1206285953521728,0.5603142976760864,"2384,2385,2386,2387,2388"
independent,s2,annotations,2820,11,10,0.2879134961346538,0.5639380255318273,0.6334803676295642,0.5081538089612573,0.5639380255318273,0.1083085760474205,0.5541542880237103,"2384,2385,2386,2387,2388"
independent,s2,Y.l1,2820,9,10,0.3253775909808868,0.5820512257508904,0.7045758267910798,0.4958276042650729,0.5820512257508904,0.1206285953521728,0.5603142976760864,"2384,2385,2386,2387,2388"
