sample_order,section,obs_name,section_n_total,section_n_sampled,sampling_seed
334,Mouse_Thymus1,18_25,4697,2635,0
335,Mouse_Thymus1,18_27,4697,2635,0
336,Mouse_Thymus1,18_3,4697,2635,0
337,Mouse_Thymus1,18_32,4697,2635,0
338,Mouse_Thymus1,18_33,4697,2635,0
339,Mouse_Thymus1,18_38,4697,2635,0
340,Mouse_Thymus1,18_39,4697,2635,0
341,Mouse_Thymus1,18_40,4697,2635,0
342,Mouse_Thymus1,18_41,4697,2635,0
343,Mouse_Thymus1,18_42,4697,2635,0
344,Mouse_Thymus1,18_44,4697,2635,0
345,Mouse_Thymus1,18_45,4697,2635,0
346,Mouse_Thymus1,18_46,4697,2635,0
347,Mouse_Thymus1,18_47,4697,2635,0
348,Mouse_Thymus1,18_49,4697,2635,0
349,Mouse_Thymus1,18_5,4697,2635,0
350,Mouse_Thymus1,18_50,4697,2635,0
351,Mouse_Thymus1,18_51,4697,2635,0
352,Mouse_Thymus1,18_52,4697,2635,0
353,Mouse_Thymus1,18_53,4697,2635,0
354,Mouse_Thymus1,18_55,4697,2635,0
355,Mouse_Thymus1,18_59,4697,2635,0
356,Mouse_Thymus1,18_6,4697,2635,0
357,Mouse_Thymus1,18_60,4697,2635,0
358,Mouse_Thymus1,18_62,4697,2635,0
359,Mouse_Thymus1,18_63,4697,2635,0
360,Mouse_Thymus1,18_64,4697,2635,0
361,Mouse_Thymus1,18_65,4697,2635,0
362,Mouse_Thymus1,18_67,4697,2635,0
363,Mouse_Thymus1,18_69,4697,2635,0
364,Mouse_Thymus1,18_7,4697,2635,0
365,Mouse_Thymus1,18_73,4697,2635,0
366,Mouse_Thymus1,18_74,4697,2635,0
367,Mouse_Thymus1,18_79,4697,2635,0
368,Mouse_Thymus1,18_8,4697,2635,0
369,Mouse_Thymus1,18_80,4697,2635,0
370,Mouse_Thymus1,18_81,4697,2635,0
371,Mouse_Thymus1,18_9,4697,2635,0
372,Mouse_Thymus1,19_12,4697,2635,0
373,Mouse_Thymus1,19_16,4697,2635,0
374,Mouse_Thymus1,19_18,4697,2635,0
375,Mouse_Thymus1,19_19,4697,2635,0
376,Mouse_Thymus1,19_20,4697,2635,0
377,Mouse_Thymus1,19_21,4697,2635,0
378,Mouse_Thymus1,19_22,4697,2635,0
379,Mouse_Thymus1,19_23,4697,2635,0
380,Mouse_Thymus1,19_25,4697,2635,0
381,Mouse_Thymus1,19_26,4697,2635,0
382,Mouse_Thymus1,19_27,4697,2635,0
383,Mouse_Thymus1,19_31,4697,2635,0
384,Mouse_Thymus1,19_32,4697,2635,0
385,Mouse_Thymus1,19_37,4697,2635,0
386,Mouse_Thymus1,19_40,4697,2635,0
387,Mouse_Thymus1,19_41,4697,2635,0
388,Mouse_Thymus1,19_43,4697,2635,0
389,Mouse_Thymus1,19_45,4697,2635,0
390,Mouse_Thymus1,19_46,4697,2635,0
391,Mouse_Thymus1,19_49,4697,2635,0
392,Mouse_Thymus1,19_5,4697,2635,0
393,Mouse_Thymus1,19_52,4697,2635,0
394,Mouse_Thymus1,19_53,4697,2635,0
395,Mouse_Thymus1,19_57,4697,2635,0
396,Mouse_Thymus1,19_58,4697,2635,0
397,Mouse_Thymus1,19_59,4697,2635,0
398,Mouse_Thymus1,19_6,4697,2635,0
399,Mouse_Thymus1,19_60,4697,2635,0
400,Mouse_Thymus1,19_63,4697,2635,0
401,Mouse_Thymus1,19_66,4697,2635,0
402,Mouse_Thymus1,19_68,4697,2635,0
403,Mouse_Thymus1,19_69,4697,2635,0
404,Mouse_Thymus1,19_71,4697,2635,0
405,Mouse_Thymus1,19_73,4697,2635,0
406,Mouse_Thymus1,19_75,4697,2635,0
407,Mouse_Thymus1,19_78,4697,2635,0
408,Mouse_Thymus1,19_79,4697,2635,0
409,Mouse_Thymus1,19_8,4697,2635,0
410,Mouse_Thymus1,19_80,4697,2635,0
411,Mouse_Thymus1,19_81,4697,2635,0
412,Mouse_Thymus1,19_82,4697,2635,0
413,Mouse_Thymus1,19_83,4697,2635,0
414,Mouse_Thymus1,1_22,4697,2635,0
415,Mouse_Thymus1,1_23,4697,2635,0
416,Mouse_Thymus1,1_24,4697,2635,0
417,Mouse_Thymus1,1_25,4697,2635,0
418,Mouse_Thymus1,1_36,4697,2635,0
419,Mouse_Thymus1,1_37,4697,2635,0
420,Mouse_Thymus1,1_39,4697,2635,0
421,Mouse_Thymus1,1_40,4697,2635,0
422,Mouse_Thymus1,1_41,4697,2635,0
423,Mouse_Thymus1,1_44,4697,2635,0
424,Mouse_Thymus1,20_14,4697,2635,0
425,Mouse_Thymus1,20_16,4697,2635,0
426,Mouse_Thymus1,20_17,4697,2635,0
427,Mouse_Thymus1,20_18,4697,2635,0
428,Mouse_Thymus1,20_2,4697,2635,0
429,Mouse_Thymus1,20_23,4697,2635,0
430,Mouse_Thymus1,20_24,4697,2635,0
431,Mouse_Thymus1,20_25,4697,2635,0
432,Mouse_Thymus1,20_27,4697,2635,0
433,Mouse_Thymus1,20_34,4697,2635,0
434,Mouse_Thymus1,20_35,4697,2635,0
435,Mouse_Thymus1,20_37,4697,2635,0
436,Mouse_Thymus1,20_38,4697,2635,0
437,Mouse_Thymus1,20_39,4697,2635,0
438,Mouse_Thymus1,20_4,4697,2635,0
439,Mouse_Thymus1,20_40,4697,2635,0
440,Mouse_Thymus1,20_42,4697,2635,0
441,Mouse_Thymus1,20_43,4697,2635,0
442,Mouse_Thymus1,20_44,4697,2635,0
443,Mouse_Thymus1,20_46,4697,2635,0
444,Mouse_Thymus1,20_48,4697,2635,0
445,Mouse_Thymus1,20_50,4697,2635,0
446,Mouse_Thymus1,20_51,4697,2635,0
447,Mouse_Thymus1,20_52,4697,2635,0
448,Mouse_Thymus1,20_53,4697,2635,0
449,Mouse_Thymus1,20_54,4697,2635,0
450,Mouse_Thymus1,20_57,4697,2635,0
451,Mouse_Thymus1,20_58,4697,2635,0
452,Mouse_Thymus1,20_60,4697,2635,0
453,Mouse_Thymus1,20_64,4697,2635,0
454,Mouse_Thymus1,20_65,4697,2635,0
455,Mouse_Thymus1,20_66,4697,2635,0
456,Mouse_Thymus1,20_69,4697,2635,0
457,Mouse_Thymus1,20_7,4697,2635,0
458,Mouse_Thymus1,20_70,4697,2635,0
