mode,scope,label,n_obs_labeled,n_label_classes,k,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,label_rows_in_full_order
independent,s2,Y,2820,11,5,0.4078529285381213,0.5851608887485624,0.5323045173511552,0.6496714756054666,0.5851608887485624,0.1015751361846923,0.5507875680923462,"2384,2385,2386,2387,2388"
independent,s3,RegionLoupe,2662,9,5,0.7046105161669655,0.6487028084345746,0.6128136508572198,0.6890571313727885,0.6487028084345745,0.1032247021794319,0.551612351089716,"5204,5205,5206,5207,5208"
independent,s3,annotations,2662,11,5,0.6358509161568161,0.6027811873164955,0.5325048364657247,0.6944269069647349,0.6027811873164955,0.0953233838081359,0.547661691904068,"5204,5205,5206,5207,5208"
independent,s3,celltype,2662,11,5,0.6358509161568161,0.6027811873164955,0.5325048364657247,0.6944269069647349,0.6027811873164955,0.0953233838081359,0.547661691904068,"5204,5205,5206,5207,5208"
independent,s3,Y.l1,2662,9,5,0.7046105161669655,0.6487028084345746,0.6128136508572198,0.6890571313727885,0.6487028084345745,0.1032247021794319,0.551612351089716,"5204,5205,5206,5207,5208"
independent,s3,Y,2662,11,5,0.6358509161568161,0.6027811873164954,0.5325048364657246,0.6944269069647349,0.6027811873164955,0.0953233838081359,0.547661691904068,"5204,5205,5206,5207,5208"
independent,s1,RegionLoupe,2384,9,6,0.809201671316818,0.7688503109934604,0.7496769213584692,0.7890301813753081,0.7688503109934605,0.1038244515657424,0.5519122257828712,"0,1,2,3,4"
independent,s1,annotations,2384,11,6,0.7207281999954613,0.7195394226841693,0.6586585498650728,0.7928211623055565,0.7195394226841693,0.1058109626173973,0.5529054813086987,"0,1,2,3,4"
independent,s1,celltype,2384,11,6,0.7207281999954613,0.7195394226841693,0.6586585498650728,0.7928211623055565,0.7195394226841693,0.1058109626173973,0.5529054813086987,"0,1,2,3,4"
independent,s1,Y.l1,2384,9,6,0.809201671316818,0.7688503109934604,0.7496769213584692,0.7890301813753081,0.7688503109934605,0.1038244515657424,0.5519122257828712,"0,1,2,3,4"
independent,s1,Y,2384,11,6,0.7207281999954613,0.7195394226841695,0.658658549865073,0.7928211623055569,0.7195394226841695,0.1058109626173973,0.5529054813086987,"0,1,2,3,4"
