mode,n_clusters,n_clusters_observed,cluster_asw,cluster_asw_scaled,dbi,calinski_harabasz,metric_n_obs,silhouette_sample_size,label_key,n_labeled,n_true_labels,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,section,spatial_neighbor_agreement
joint,15,15.0,0.13026395440101624,0.5651319772005081,2.1136402207943314,56724.57000354691,1068962.0,10000.0,section,1068962.0,2.0,0.011329353942928319,0.035402902481156885,0.08875604404918748,0.02211131925384797,0.03540290248115688,0.00887122843414545,0.5044356142170727,,
joint_section_spatial,15,,,,,,,,cluster,,,,,,,,,,section1,0.7052036948257111
joint_section_spatial,15,,,,,,,,cluster,,,,,,,,,,section2,0.6953883284642051
independent,15,15.0,0.13235656917095184,0.5661782845854759,2.13772920423387,37890.7582004092,665399.0,10000.0,cell_type_common,611545.0,16.0,0.12431111631447099,0.30487834861313007,0.3907809939707179,0.24993654969797358,0.30487834861313007,0.016841620206832886,0.5084208101034164,section1,
independent,15,15.0,0.13235656917095184,0.5661782845854759,2.13772920423387,37890.7582004092,665399.0,10000.0,codex_coarse_label,665399.0,10.0,0.05673331748336535,0.12786610971252318,0.16837731715107299,0.10306814388313686,0.12786610971252318,-0.006558096967637539,0.49672095151618123,section1,
independent_section_spatial,15,,,,,,,,cluster,,,,,,,,,,section1,0.686701011974269
independent,15,15.0,0.12202244997024536,0.5610112249851227,2.148563553131921,22806.53323177536,403563.0,10000.0,cell_type_common,344594.0,16.0,0.11811717424213791,0.331294582307061,0.5066015479420237,0.2461244358736329,0.3312945823070611,-0.0017710962565615773,0.4991144518717192,section2,
independent,15,15.0,0.12202244997024536,0.5610112249851227,2.148563553131921,22806.53323177536,403563.0,10000.0,spatial_cluster,344594.0,8.0,0.25884960039448357,0.4431630772976725,0.5091192889211141,0.39233608556830346,0.4431630772976725,0.06038723140954971,0.5301936157047749,section2,
independent_section_spatial,15,,,,,,,,cluster,,,,,,,,,,section2,0.756789728823835
joint,16,16.0,0.12831322848796844,0.5641566142439842,2.154129026483266,55131.72330123456,1068962.0,10000.0,cell_type_common,956139.0,16.0,0.09986068547565853,0.30764612694611704,0.4181995359582202,0.2433224604270163,0.30764612694611704,0.02469717524945736,0.5123485876247287,,
joint,16,16.0,0.12831322848796844,0.5641566142439842,2.154129026483266,55131.72330123456,1068962.0,10000.0,spatial_cluster,344594.0,8.0,0.24740810203951355,0.4260807378709392,0.49052590176772215,0.37660276562300504,0.4260807378709392,0.06080184876918793,0.530400924384594,,
joint,16,16.0,0.12831322848796844,0.5641566142439842,2.154129026483266,55131.72330123456,1068962.0,10000.0,codex_coarse_label,665399.0,10.0,0.041854546097884214,0.12898739499415054,0.16794143892812288,0.10470179638163814,0.12898739499415052,-0.006588565185666084,0.49670571740716696,,
joint,16,16.0,0.12831322848796844,0.5641566142439842,2.154129026483266,55131.72330123456,1068962.0,10000.0,section,1068962.0,2.0,0.015732437849498463,0.04380396052917276,0.11207185316756668,0.027221902807079798,0.04380396052917276,0.00887122843414545,0.5044356142170727,,
joint_section_spatial,16,,,,,,,,cluster,,,,,,,,,,section1,0.6971894557501088
joint_section_spatial,16,,,,,,,,cluster,,,,,,,,,,section2,0.6993113012507753
independent,16,16.0,0.13402864336967468,0.5670143216848373,2.173735796306431,36261.53121753697,665399.0,10000.0,cell_type_common,611545.0,16.0,0.12044625379092784,0.2952861632332372,0.3859872273931965,0.23910108440593503,0.29528616323323725,0.016841620206832886,0.5084208101034164,section1,
independent,16,16.0,0.13402864336967468,0.5670143216848373,2.173735796306431,36261.53121753697,665399.0,10000.0,codex_coarse_label,665399.0,10.0,0.057124721893710664,0.12119332441072014,0.16253369481409838,0.09661846288426021,0.12119332441072016,-0.006558096967637539,0.49672095151618123,section1,
independent_section_spatial,16,,,,,,,,cluster,,,,,,,,,,section1,0.6576224691250413
independent,16,16.0,0.13048429787158966,0.5652421489357948,2.14561416944577,22335.143872843855,403563.0,10000.0,cell_type_common,344594.0,16.0,0.11257387323274266,0.32128769110278993,0.496233531215847,0.23754264851205475,0.32128769110279,-0.0017710962565615773,0.4991144518717192,section2,
independent,16,16.0,0.13048429787158966,0.5652421489357948,2.14561416944577,22335.143872843855,403563.0,10000.0,spatial_cluster,344594.0,8.0,0.23364896475204733,0.4313588259731316,0.49973459940217324,0.3794419894535508,0.4313588259731316,0.06038723140954971,0.5301936157047749,section2,
independent_section_spatial,16,,,,,,,,cluster,,,,,,,,,,section2,0.756771144364903
joint,17,17.0,0.11874881386756897,0.5593744069337845,2.297593880998535,51273.79623368907,1068962.0,10000.0,cell_type_common,956139.0,16.0,0.11228824604737773,0.30637473093915885,0.42036966816889104,0.241016419648814,0.30637473093915885,0.02469717524945736,0.5123485876247287,,
joint,17,17.0,0.11874881386756897,0.5593744069337845,2.297593880998535,51273.79623368907,1068962.0,10000.0,spatial_cluster,344594.0,8.0,0.26309091316248384,0.4315181999879851,0.5022246624522592,0.3782637613946087,0.43151819998798513,0.06080184876918793,0.530400924384594,,
joint,17,17.0,0.11874881386756897,0.5593744069337845,2.297593880998535,51273.79623368907,1068962.0,10000.0,codex_coarse_label,665399.0,10.0,0.04928058626618213,0.1314410282307503,0.1773697323540544,0.1044058362674375,0.1314410282307503,-0.006588565185666084,0.49670571740716696,,
joint,17,17.0,0.11874881386756897,0.5593744069337845,2.297593880998535,51273.79623368907,1068962.0,10000.0,section,1068962.0,2.0,0.002495290341387679,0.006541305648153903,0.01703674103979417,0.004047719607902237,0.006541305648153903,0.00887122843414545,0.5044356142170727,,
joint_section_spatial,17,,,,,,,,cluster,,,,,,,,,,section1,0.6691243399323814
joint_section_spatial,17,,,,,,,,cluster,,,,,,,,,,section2,0.6632809912372212
independent,17,17.0,0.12840214371681213,0.5642010718584061,2.1842246938035546,34701.841170057334,665399.0,10000.0,cell_type_common,611545.0,16.0,0.11872361583079641,0.29280184784212915,0.387725780360606,0.23521577225937054,0.29280184784212915,0.016841620206832886,0.5084208101034164,section1,
independent,17,17.0,0.12840214371681213,0.5642010718584061,2.1842246938035546,34701.841170057334,665399.0,10000.0,codex_coarse_label,665399.0,10.0,0.054992590152564004,0.12331272373001828,0.16744661118130422,0.09759074129031028,0.12331272373001827,-0.006558096967637539,0.49672095151618123,section1,
independent_section_spatial,17,,,,,,,,cluster,,,,,,,,,,section1,0.6483623610294976
independent,17,17.0,0.1331210881471634,0.5665605440735817,2.1335185469750284,22171.811229413834,403563.0,10000.0,cell_type_common,344594.0,16.0,0.11845430718439785,0.3241219991278306,0.5105868470836322,0.23741772781394713,0.3241219991278306,-0.0017710962565615773,0.4991144518717192,section2,
independent,17,17.0,0.1331210881471634,0.5665605440735817,2.1335185469750284,22171.811229413834,403563.0,10000.0,spatial_cluster,344594.0,8.0,0.24555843778025607,0.44745347615782505,0.5270626904563227,0.3887373572921394,0.4474534761578251,0.06038723140954971,0.5301936157047749,section2,
