mode,k,section,cluster,count,fraction
joint,15,section1,9,74168,0.1114639486984501
joint,15,section1,10,37483,0.05633161456509553
joint,15,section1,11,30890,0.04642327385523573
joint,15,section1,12,33131,0.04979117792482405
joint,15,section1,13,44944,0.0675444357445683
joint,15,section1,14,50374,0.07570495296806878
joint,15,section2,0,41332,0.10241771421066848
joint,15,section2,1,43759,0.10843164512108394
joint,15,section2,2,27883,0.06909206245369372
joint,15,section2,3,16135,0.039981365982510786
joint,15,section2,4,50385,0.1248503951055969
joint,15,section2,5,6977,0.017288502662533484
joint,15,section2,6,20139,0.04990298912437463
joint,15,section2,7,20651,0.05117168818747011
joint,15,section2,8,33541,0.08311217827204179
joint,15,section2,9,32109,0.07956378557994663
joint,15,section2,10,26646,0.06602686569383219
joint,15,section2,11,24277,0.060156654599158
joint,15,section2,12,20623,0.05110230620745708
joint,15,section2,13,24553,0.0608405626878579
joint,15,section2,14,14553,0.03606128411177437
joint,16,section1,0,37609,0.05652097463326515
joint,16,section1,1,45266,0.06802835591877957
joint,16,section1,2,12282,0.018458098073486737
joint,16,section1,3,81769,0.1228871699536669
joint,16,section1,4,82579,0.12410448467761448
joint,16,section1,5,28851,0.04335894703779236
joint,16,section1,6,40627,0.06105659912323283
joint,16,section1,7,39282,0.05903525553840628
joint,16,section1,8,44575,0.0669898812592144
joint,16,section1,9,30101,0.04523751914264975
joint,16,section1,10,38006,0.05711760913376786
joint,16,section1,11,361,0.0005425316238828132
joint,16,section1,12,63987,0.09616335461880766
joint,16,section1,13,40777,0.06128202777581571
joint,16,section1,14,32227,0.04843259457859119
joint,16,section1,15,47100,0.07078459691102632
joint,16,section2,0,26726,0.06622509992244086
joint,16,section2,1,21652,0.05365209397293607
joint,16,section2,2,43649,0.10815907305674703
joint,16,section2,3,39444,0.09773938641550389
joint,16,section2,4,32139,0.07963812341567487
joint,16,section2,5,22404,0.05551549572185755
joint,16,section2,6,18403,0.04560130636356653
joint,16,section2,7,16462,0.040791648391948716
joint,16,section2,8,12649,0.031343309470888064
joint,16,section2,9,17234,0.04270460869802237
joint,16,section2,10,20697,0.05128567286892009
joint,16,section2,11,49799,0.1233983293810384
joint,16,section2,12,21332,0.0528591570585014
joint,16,section2,13,19661,0.04871853960843784
joint,16,section2,14,23202,0.05749288215222902
joint,16,section2,15,18110,0.04487527350128728
joint,17,section1,0,23500,0.03531715557131886
joint,17,section1,1,74438,0.1118697202730993
joint,17,section1,2,45952,0.06905931628992529
joint,17,section1,3,37508,0.05636918600719268
joint,17,section1,4,44725,0.06721530991179728
joint,17,section1,5,30477,0.04580259363179085
joint,17,section1,6,32852,0.04937188063101988
joint,17,section1,7,29161,0.043824832919797
joint,17,section1,8,37891,0.05694478050012098
joint,17,section1,9,37791,0.05679449473173239
joint,17,section1,10,58005,0.08717325995380215
joint,17,section1,11,28342,0.04259399247669443
joint,17,section1,12,34277,0.051513452830557305
joint,17,section1,13,57839,0.0869237855782771
joint,17,section1,14,31008,0.04660061106193427
joint,17,section1,15,30754,0.04621888521022725
joint,17,section1,16,30879,0.046406742420712986
joint,17,section2,0,22948,0.056863488476396495
joint,17,section2,1,38643,0.0957545662015596
joint,17,section2,2,25790,0.06390575944771944
joint,17,section2,3,18781,0.04653796309374249
joint,17,section2,4,23466,0.058147055106637625
joint,17,section2,5,14763,0.036581648961872125
joint,17,section2,6,23954,0.059356283901150504
joint,17,section2,7,26136,0.06476312248645193
joint,17,section2,8,44243,0.10963096220416639
joint,17,section2,9,17555,0.043500023540314646
joint,17,section2,10,34645,0.08584781062684141
joint,17,section2,11,21982,0.054469810165946826
joint,17,section2,12,20470,0.050723183245243
joint,17,section2,13,26166,0.06483746032218018
joint,17,section2,14,13720,0.03399717020638661
