mode,scope,label,n_obs_labeled,n_label_classes,k,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled
independent,dataset3,RNA_Clusters,1777,11,3,0.20016823937478362,0.21415200291998185,0.1766522674931023,0.2718630868031977,0.21415200291998188,-0.0004067536210641265,0.49979662318946794
independent,dataset3,ATAC_Clusters,1777,11,3,0.20000937892340157,0.27901416795065764,0.21794480212978637,0.3876303968051963,0.27901416795065764,0.015568196773529053,0.5077840983867645
independent,dataset4,Y,1263,8,3,0.5401018427898873,0.4973825622554805,0.43496569541419666,0.5807140849350665,0.49738256225548044,0.052194010466337204,0.5260970052331686
independent,dataset4,Combined_Clusters_annotation,1263,8,3,0.5401018427898873,0.4973825622554805,0.43496569541419666,0.5807140849350665,0.49738256225548044,0.052194010466337204,0.5260970052331686
independent,dataset4,Combined_Clusters,1263,8,3,0.5401018427898873,0.4973825622554805,0.43496569541419666,0.5807140849350665,0.49738256225548044,0.052194010466337204,0.5260970052331686
independent,dataset4,RNA_Clusters,1263,12,3,0.46185200517205505,0.4925887220172838,0.39659347173281684,0.6498956329814254,0.4925887220172838,0.027149584144353867,0.5135747920721769
independent,dataset4,ATAC_Clusters,1263,8,3,0.509583219252847,0.47032329063797507,0.4038679437895024,0.5629561611757762,0.47032329063797507,-0.02382189780473709,0.48808905109763145
independent,dataset1,Y,2129,14,4,0.41145052878092964,0.5184079183499889,0.4112484048943574,0.701092461804038,0.5184079183499888,0.02981637418270111,0.5149081870913506
independent,dataset1,Combined_Clusters_annotation,2129,14,4,0.41145052878092964,0.5184079183499887,0.4112484048943572,0.7010924618040378,0.5184079183499888,0.02981637418270111,0.5149081870913506
independent,dataset1,Combined_Clusters,2129,14,4,0.41145052878092964,0.5184079183499889,0.4112484048943574,0.701092461804038,0.5184079183499888,0.02981637418270111,0.5149081870913506
independent,dataset1,RNA_Clusters,2129,13,4,0.4141510452188603,0.4794688567295643,0.3899170081672565,0.6224192658404663,0.47946885672956435,0.0099099762737751,0.5049549881368876
