section,spot_index,obs_name,cluster,stage
Mouse_Thymus3,275,92_34,6,Mouse_Thymus3
Mouse_Thymus3,276,43_40,0,Mouse_Thymus3
Mouse_Thymus3,277,102_54,1,Mouse_Thymus3
Mouse_Thymus3,278,44_17,6,Mouse_Thymus3
Mouse_Thymus3,279,20_39,1,Mouse_Thymus3
Mouse_Thymus3,280,94_37,5,Mouse_Thymus3
Mouse_Thymus3,281,38_55,5,Mouse_Thymus3
Mouse_Thymus3,282,30_49,0,Mouse_Thymus3
Mouse_Thymus3,283,98_14,1,Mouse_Thymus3
Mouse_Thymus3,284,110_61,5,Mouse_Thymus3
Mouse_Thymus3,285,109_51,1,Mouse_Thymus3
Mouse_Thymus3,286,19_52,8,Mouse_Thymus3
Mouse_Thymus3,287,89_35,5,Mouse_Thymus3
Mouse_Thymus3,288,106_24,6,Mouse_Thymus3
Mouse_Thymus3,289,95_13,9,Mouse_Thymus3
Mouse_Thymus3,290,91_21,6,Mouse_Thymus3
Mouse_Thymus3,291,44_51,5,Mouse_Thymus3
Mouse_Thymus3,292,111_55,8,Mouse_Thymus3
Mouse_Thymus3,293,104_38,0,Mouse_Thymus3
Mouse_Thymus3,294,15_41,8,Mouse_Thymus3
Mouse_Thymus3,295,61_7,8,Mouse_Thymus3
Mouse_Thymus3,296,77_28,6,Mouse_Thymus3
Mouse_Thymus3,297,83_45,6,Mouse_Thymus3
Mouse_Thymus3,298,70_44,1,Mouse_Thymus3
Mouse_Thymus3,299,83_0,8,Mouse_Thymus3
Mouse_Thymus3,300,120_61,6,Mouse_Thymus3
Mouse_Thymus3,301,92_17,1,Mouse_Thymus3
Mouse_Thymus3,302,63_9,1,Mouse_Thymus3
Mouse_Thymus3,303,81_40,1,Mouse_Thymus3
Mouse_Thymus3,304,42_24,5,Mouse_Thymus3
Mouse_Thymus3,305,45_32,5,Mouse_Thymus3
Mouse_Thymus3,306,54_30,0,Mouse_Thymus3
Mouse_Thymus3,307,82_38,8,Mouse_Thymus3
Mouse_Thymus3,308,82_32,1,Mouse_Thymus3
Mouse_Thymus3,309,123_61,5,Mouse_Thymus3
Mouse_Thymus3,310,98_31,1,Mouse_Thymus3
Mouse_Thymus3,311,91_6,5,Mouse_Thymus3
Mouse_Thymus3,312,80_32,1,Mouse_Thymus3
Mouse_Thymus3,313,54_14,5,Mouse_Thymus3
Mouse_Thymus3,314,55_20,8,Mouse_Thymus3
Mouse_Thymus3,315,30_46,0,Mouse_Thymus3
Mouse_Thymus3,316,76_29,0,Mouse_Thymus3
Mouse_Thymus3,317,71_45,1,Mouse_Thymus3
Mouse_Thymus3,318,59_41,5,Mouse_Thymus3
Mouse_Thymus3,319,110_34,8,Mouse_Thymus3
Mouse_Thymus3,320,24_41,5,Mouse_Thymus3
Mouse_Thymus3,321,94_24,0,Mouse_Thymus3
Mouse_Thymus3,322,48_43,5,Mouse_Thymus3
Mouse_Thymus3,323,74_46,1,Mouse_Thymus3
Mouse_Thymus3,324,108_40,0,Mouse_Thymus3
Mouse_Thymus3,325,97_31,1,Mouse_Thymus3
Mouse_Thymus3,326,41_39,5,Mouse_Thymus3
Mouse_Thymus3,327,88_21,0,Mouse_Thymus3
Mouse_Thymus3,328,99_35,6,Mouse_Thymus3
Mouse_Thymus3,329,81_54,1,Mouse_Thymus3
Mouse_Thymus3,330,30_42,6,Mouse_Thymus3
Mouse_Thymus3,331,82_36,1,Mouse_Thymus3
Mouse_Thymus3,332,110_48,0,Mouse_Thymus3
Mouse_Thymus3,333,56_37,0,Mouse_Thymus3
Mouse_Thymus3,334,54_35,0,Mouse_Thymus3
Mouse_Thymus3,335,100_51,9,Mouse_Thymus3
Mouse_Thymus3,336,8_52,5,Mouse_Thymus3
Mouse_Thymus3,337,94_22,0,Mouse_Thymus3
Mouse_Thymus3,338,30_41,6,Mouse_Thymus3
Mouse_Thymus3,339,39_22,5,Mouse_Thymus3
Mouse_Thymus3,340,55_38,0,Mouse_Thymus3
Mouse_Thymus3,341,96_32,1,Mouse_Thymus3
Mouse_Thymus3,342,122_52,5,Mouse_Thymus3
Mouse_Thymus3,343,49_20,6,Mouse_Thymus3
Mouse_Thymus3,344,18_48,0,Mouse_Thymus3
Mouse_Thymus3,345,107_47,1,Mouse_Thymus3
Mouse_Thymus3,346,47_23,5,Mouse_Thymus3
Mouse_Thymus3,347,83_20,0,Mouse_Thymus3
Mouse_Thymus3,348,55_42,5,Mouse_Thymus3
Mouse_Thymus3,349,98_29,0,Mouse_Thymus3
Mouse_Thymus3,350,101_54,8,Mouse_Thymus3
Mouse_Thymus3,351,75_13,5,Mouse_Thymus3
Mouse_Thymus3,352,117_40,8,Mouse_Thymus3
Mouse_Thymus3,353,72_11,5,Mouse_Thymus3
Mouse_Thymus3,354,10_54,6,Mouse_Thymus3
Mouse_Thymus3,355,110_50,5,Mouse_Thymus3
Mouse_Thymus3,356,83_52,1,Mouse_Thymus3
Mouse_Thymus3,357,37_20,4,Mouse_Thymus3
Mouse_Thymus3,358,54_27,0,Mouse_Thymus3
Mouse_Thymus3,359,43_36,5,Mouse_Thymus3
Mouse_Thymus3,360,80_27,6,Mouse_Thymus3
Mouse_Thymus3,361,91_22,0,Mouse_Thymus3
Mouse_Thymus3,362,92_39,1,Mouse_Thymus3
Mouse_Thymus3,363,91_13,1,Mouse_Thymus3
Mouse_Thymus3,364,107_59,8,Mouse_Thymus3
Mouse_Thymus3,365,89_25,0,Mouse_Thymus3
Mouse_Thymus3,366,65_31,6,Mouse_Thymus3
Mouse_Thymus3,367,114_38,5,Mouse_Thymus3
Mouse_Thymus3,368,97_18,1,Mouse_Thymus3
Mouse_Thymus3,369,89_41,1,Mouse_Thymus3
Mouse_Thymus3,370,25_34,6,Mouse_Thymus3
Mouse_Thymus3,371,76_33,0,Mouse_Thymus3
Mouse_Thymus3,372,101_35,0,Mouse_Thymus3
Mouse_Thymus3,373,29_54,1,Mouse_Thymus3
Mouse_Thymus3,374,20_49,0,Mouse_Thymus3
Mouse_Thymus3,375,86_38,1,Mouse_Thymus3
Mouse_Thymus3,376,113_57,5,Mouse_Thymus3
Mouse_Thymus3,377,4_49,0,Mouse_Thymus3
Mouse_Thymus3,378,31_32,6,Mouse_Thymus3
Mouse_Thymus3,379,116_49,0,Mouse_Thymus3
Mouse_Thymus3,380,23_53,5,Mouse_Thymus3
Mouse_Thymus3,381,96_54,1,Mouse_Thymus3
Mouse_Thymus3,382,79_21,0,Mouse_Thymus3
Mouse_Thymus3,383,89_40,6,Mouse_Thymus3
Mouse_Thymus3,384,99_50,1,Mouse_Thymus3
Mouse_Thymus3,385,23_41,5,Mouse_Thymus3
Mouse_Thymus3,386,10_43,5,Mouse_Thymus3
Mouse_Thymus3,387,92_10,1,Mouse_Thymus3
Mouse_Thymus3,388,34_44,0,Mouse_Thymus3
Mouse_Thymus3,389,55_35,0,Mouse_Thymus3
Mouse_Thymus3,390,65_49,5,Mouse_Thymus3
Mouse_Thymus3,391,90_44,1,Mouse_Thymus3
Mouse_Thymus3,392,91_46,8,Mouse_Thymus3
Mouse_Thymus3,393,93_62,9,Mouse_Thymus3
Mouse_Thymus3,394,81_46,6,Mouse_Thymus3
Mouse_Thymus3,395,57_42,5,Mouse_Thymus3
Mouse_Thymus3,396,69_7,1,Mouse_Thymus3
Mouse_Thymus3,397,68_4,5,Mouse_Thymus3
Mouse_Thymus3,398,81_33,5,Mouse_Thymus3
Mouse_Thymus3,399,84_3,1,Mouse_Thymus3
Mouse_Thymus3,400,50_22,0,Mouse_Thymus3
Mouse_Thymus3,401,49_31,6,Mouse_Thymus3
Mouse_Thymus3,402,58_11,5,Mouse_Thymus3
Mouse_Thymus3,403,95_56,1,Mouse_Thymus3
Mouse_Thymus3,404,39_47,0,Mouse_Thymus3
Mouse_Thymus3,405,90_40,1,Mouse_Thymus3
Mouse_Thymus3,406,65_12,9,Mouse_Thymus3
Mouse_Thymus3,407,83_25,5,Mouse_Thymus3
Mouse_Thymus3,408,76_43,0,Mouse_Thymus3
Mouse_Thymus3,409,112_54,8,Mouse_Thymus3
Mouse_Thymus3,410,12_41,8,Mouse_Thymus3
Mouse_Thymus3,411,84_50,1,Mouse_Thymus3
Mouse_Thymus3,412,98_62,1,Mouse_Thymus3
Mouse_Thymus3,413,49_45,1,Mouse_Thymus3
Mouse_Thymus3,414,41_35,5,Mouse_Thymus3
Mouse_Thymus3,415,32_32,6,Mouse_Thymus3
Mouse_Thymus3,416,103_35,0,Mouse_Thymus3
Mouse_Thymus3,417,33_26,5,Mouse_Thymus3
Mouse_Thymus3,418,87_35,1,Mouse_Thymus3
Mouse_Thymus3,419,17_41,5,Mouse_Thymus3
Mouse_Thymus3,420,30_30,1,Mouse_Thymus3
